,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration,Work duration,Prov_ab,Employment Rate,Pct house over 30,region,Income
2539,23609,1,6,1,2,0,4,585,0,BC,59.6,20.7,British Columbia,69995.0
2540,23620,1,2,1,2,0,6,600,0,BC,59.6,20.7,British Columbia,69995.0
2541,23634,1,6,1,1,0,5,510,0,BC,59.6,20.7,British Columbia,69995.0
2542,23638,2,6,3,2,0,6,495,0,BC,59.6,20.7,British Columbia,69995.0
2543,23641,1,1,1,2,2,3,480,0,BC,59.6,20.7,British Columbia,69995.0
2544,23652,2,4,5,1,0,2,450,0,BC,59.6,20.7,British Columbia,69995.0
2545,23656,1,5,1,2,0,2,450,0,BC,59.6,20.7,British Columbia,69995.0
2546,23678,1,4,1,1,2,6,530,830,BC,59.6,20.7,British Columbia,69995.0
2547,23681,1,6,6,2,0,1,510,0,BC,59.6,20.7,British Columbia,69995.0
2548,23684,1,7,5,2,0,4,490,0,BC,59.6,20.7,British Columbia,69995.0
2549,23687,2,5,1,1,0,2,480,0,BC,59.6,20.7,British Columbia,69995.0
2550,23690,2,1,6,1,0,3,540,0,BC,59.6,20.7,British Columbia,69995.0
2551,23706,1,3,2,2,0,1,450,0,BC,59.6,20.7,British Columbia,69995.0
2552,23707,1,6,5,2,0,5,495,0,BC,59.6,20.7,British Columbia,69995.0
2553,23709,1,2,2,2,0,2,365,480,BC,59.6,20.7,British Columbia,69995.0
2554,23727,1,2,2,2,0,2,510,0,BC,59.6,20.7,British Columbia,69995.0
2555,23745,1,3,4,2,0,2,760,0,BC,59.6,20.7,British Columbia,69995.0
2556,23746,1,6,1,1,0,4,420,0,BC,59.6,20.7,British Columbia,69995.0
2557,23762,1,5,3,2,0,1,555,390,BC,59.6,20.7,British Columbia,69995.0
2558,23769,1,5,4,1,0,1,450,465,BC,59.6,20.7,British Columbia,69995.0
2559,23771,1,6,3,2,0,3,485,0,BC,59.6,20.7,British Columbia,69995.0
2560,23779,1,6,5,2,0,6,410,450,BC,59.6,20.7,British Columbia,69995.0
2561,23788,2,7,3,2,0,6,450,0,BC,59.6,20.7,British Columbia,69995.0
2562,23816,1,4,1,1,1,1,455,460,BC,59.6,20.7,British Columbia,69995.0
2563,23817,2,3,1,2,2,3,470,0,BC,59.6,20.7,British Columbia,69995.0
2564,23820,1,5,2,1,0,4,550,0,BC,59.6,20.7,British Columbia,69995.0
